id,symbol,daysOutOfTop50
1,BTC,0
2,LTC,0
52,XRP,0
74,DOGE,0
328,XMR,0
512,XLM,0
1027,ETH,0
1321,ETC,0
1831,BCH,0
1839,BNB,0
1958,TRX,0
1975,LINK,0
2010,ADA,0
3077,VET,0
3635,CRO,0
3794,ATOM,0
3897,OKB,0
3957,LEO,0
4030,ALGO,0
4269,GT,0
4642,HBAR,0
5426,SOL,0
5690,RENDER,0
5805,AVAX,0
5994,SHIB,0
6535,NEAR,0
6636,DOT,0
7083,UNI,0
7278,AAVE,0
8916,ICP,0
11092,BGB,0
11419,TON,0
11841,ARB,0
13502,WLD,0
20396,KAS,0
20947,SUI,0
21159,ONDO,0
21794,APT,0
22974,TAO,0
23095,BONK,0
23149,SEI,0
24478,PEPE,0
27075,MNT,0
28321,POL,0
30171,ENA,0
32196,HYPE,0
34466,PENGU,0
35336,TRUMP,0
35626,IP,0
35697,PI,0
